Gain DAC	Relative gain
687	4.26553439019216
688	4.27387401889847
689	4.28223275264674
690	4.29061062922975
691	4.29900768644026
692	4.30742396207107
693	4.31585949391493
694	4.32431431976464
695	4.33278847741296
696	4.34128200465268
697	4.34979493927657
698	4.3583273190774
699	4.36687918184795
700	4.375450565381
701	4.38404150746933
702	4.39265204590571
703	4.40128221848292
704	4.40993206299372
705	4.41860161723092
706	4.42729091898726
707	4.43600000605554
708	4.44472891622853
709	4.45347768729901
710	4.46224635705974
711	4.47103496330352
712	4.47984354382311
713	4.48867213641129
714	4.49752077886084
715	4.50638950896454
716	4.51527836451515
717	4.52418738330546
718	4.53311660312825
719	4.54206606177628
720	4.55103579704234
721	4.5600258467192
722	4.56903624859964
723	4.57806704047644
724	4.58711826014237
725	4.5961899453902
726	4.60528213401272
727	4.6143948638027
728	4.62352817255292
729	4.63268209805615
730	4.64185667810517
731	4.65105195049275
732	4.66026795301168
733	4.66950472345473
734	4.67876229961467
735	4.68804071928428
736	4.69734002025635
737	4.70666024032363
738	4.71600141727892
739	4.72536358891498
740	4.7347467930246
741	4.74415106740055
742	4.7535764498356
743	4.76302297812254
744	4.77249069005413
745	4.78197962342316
746	4.7914898160224
747	4.80102130564463
748	4.81057413008263
749	4.82014832712916
750	4.82974393457701
751	4.83936099021896
752	4.84899953184777
753	4.85865959725624
754	4.86834122423712
755	4.8780444505832
756	4.88776931408726
757	4.89751585254207
758	4.90728410374041
759	4.91707410547505
760	4.92688589553878
761	4.93671951172436
762	4.94657499182458
763	4.9564523736322
764	4.96635169494001
765	4.97627299354079
766	4.9862163072273
767	4.99618167379233
768	5.00616913102865
769	5.01617871672904
770	5.02621046868627
771	5.03626442469313
772	5.04634062254238
773	5.05643910002681
774	5.06655989493918
775	5.07670304507228
776	5.08686858821889
777	5.09705656217178
778	5.10726700472371
779	5.11749995366749
780	5.12775544679587
781	5.13803352190163
782	5.14833421677756
783	5.15865756921642
784	5.169003617011
785	5.17937239795407
786	5.18976394983841
787	5.20017831045678
788	5.21061551760198
789	5.22107560906677
790	5.23155862264394
791	5.24206459612625
792	5.25259356730649
793	5.26314557397743
794	5.27372065393185
795	5.28431884496252
796	5.29494018486222
797	5.30558471142373
798	5.31625246243982
799	5.32694347570327
800	5.33765778900686
801	5.34839544014336
802	5.35915646690555
803	5.3699409070862
804	5.3807487984781
805	5.39158017887401
806	5.40243508606671
807	5.41331355784899
808	5.42421563201361
809	5.43514134635336
810	5.44609073866101
811	5.45706384672933
812	5.4680607083511
813	5.47908136131911
814	5.49012584342612
815	5.50119419246491
816	5.51228644622825
817	5.52340264250894
818	5.53454281909973
819	5.54570701379341
820	5.55689526438275
821	5.56810760866053
822	5.57934408441953
823	5.59060472945252
824	5.60188958155228
